Ch1,Ch2,Ch3,cluster
1554.59448,1066.60547,409.257874,0
1487.23083,1138.49854,412.316925,0
1494.00769,926.5277,417.9751,0
1544.1012,1031.04456,401.968475,0
1508.00342,1113.05408,414.909546,0
1529.21448,1133.73193,444.3711,0
1565.42261,1035.00879,449.889984,0
1475.59033,1086.10754,433.9092,0
1515.59119,1115.92883,434.256958,0
1541.01416,1011.41162,424.419983,0
1510.08154,1003.07623,415.130127,0
1359.161,1084.88245,419.124,0
1599.90894,927.5932,379.438843,0
1491.42847,2296.95239,486.39505,10000
1441.5282,1034.44922,450.9079,0
1524.78394,931.808838,374.171143,0
1450.93457,1127.9668,449.797546,0
4313.215,1046.88245,464.75946,100000
1535.44092,936.9,439.2955,0
1599.06348,1048.141,469.994415,0
1607.65125,971.9307,421.205536,0
1467.145,1165.65747,433.277954,0
1525.158,1016.10431,402.377655,0
1632.14258,1033.98877,528.35144,0
1504.333,1076.8363,410.4511,0
1514.60828,1109.08582,432.032471,0
4429.79639,870.4414,8185.344,101000
4537.42139,916.168335,453.733856,100000
1609.94824,993.5332,440.068054,0
1524.712,1115.22131,453.973572,0
1580.27734,1045.37683,442.666626,0
1596.63623,960.407349,409.2113,0
4558.69971,946.3819,437.873,100000
1640.772,1101.28845,564.2581,0
1641.03479,1042.44788,445.6695,0
1504.6604,1124.07385,383.618835,0
1475.60791,2242.651,418.1525,10000
4286.574,2222.65381,499.56424,110000
1416.99951,1076.08093,443.850464,0
1580.29272,989.104431,422.887054,0
1518.47449,971.998,513.839355,0
1499.2345,1046.39319,390.484863,0
1548.34387,1014.08978,429.12442,0
1456.41577,1088.66821,473.082367,0
1477.525,2215.41284,436.373138,10000
4712.19043,1131.08508,447.795929,100000
1523.4873,1032.86621,445.858917,0
1533.73926,1061.075,378.810059,0
4659.25049,1006.39777,397.289764,100000
4548.681,1005.07074,425.114075,100000
1548.977,1090.7262,462.053925,0
1507.11536,1029.91248,358.352234,0
1549.55408,1139.43176,439.438721,0
1559.10559,1005.36865,396.286041,0
1551.36865,1064.88379,425.0632,0
1620.12085,1153.17566,463.76947,0
1643.43494,941.1016,8541.962,1000
1491.05762,1050.24109,443.823456,0
1549.273,1082.37952,445.17337,0
1446.36438,1028.12476,391.455872,0
1453.98315,1168.08972,412.76532,0
1666.30078,1020.92236,459.071777,0
1604.9751,962.9424,413.413269,0
1482.115,1127.8158,385.226959,0
1471.69861,1052.562,9160.316,1000
1530.36511,988.3647,370.046722,0
1505.71655,1065.03088,403.123962,0
1568.21387,1043.16626,385.19635,0
1577.009,1077.12354,429.153442,0
1593.02478,1062.08813,441.424347,0
1552.65063,1038.03589,382.687836,0
1612.786,984.9216,435.651245,0
1521.66772,1011.88428,424.077118,0
1476.958,1121.53,422.972046,0
1514.16284,2179.61646,447.2771,10000
1550.66528,1048.40283,393.807037,0
1547.439,1059.1488,410.263367,0
1544.24011,1071.95972,462.5244,0
1579.46265,1047.32166,456.069763,0
1543.15479,1122.27209,394.707123,0
1584.139,1202.15417,481.677917,0
1498.46362,1078.70642,413.651642,0
1478.07153,2235.69653,479.870453,10000
1607.274,971.097046,426.538055,0
1515.983,1064.37378,453.89566,0
1606.89282,1089.48572,394.873077,0
1470.2959,1021.39331,428.181244,0
1507.14221,1092.8573,432.482452,0
4480.5127,1153.16052,406.613434,100000
1356.09021,2276.87231,485.020416,10000
1555.238,1026.90967,437.784882,0
1502.58765,925.1074,428.5272,0
4789.29443,1058.47937,460.937164,100000
1584.35217,960.5117,9423.998,1000
1558.22375,961.5184,420.427826,0
4377.40674,1095.27454,8988.319,101000
1532.63037,985.81665,423.7746,0
1594.45056,955.0346,425.173,0
4420.03467,919.1518,418.668671,100000
1416.28711,1197.21814,389.168732,0
1419.96338,1102.22351,425.7718,0
1468.191,1068.65112,406.091278,0
1462.47742,2127.09668,505.4458,10000
1575.73535,971.845642,9212.167,1000
1513.52881,1117.61353,424.5806,0
1534.90869,1044.01477,435.372955,0
1520.34058,1090.74011,420.55484,0
1463.239,1065.30591,423.8757,0
1529.25,1166.593,413.029266,0
1517.96667,998.5042,442.357849,0
1500.87231,1039.9646,399.892426,0
1632.7699,1068.48547,456.815063,0
1670.37292,943.7791,393.974854,0
1470.82751,2183.81641,454.089478,10000
1545.95593,984.363342,430.6309,0
4438.668,1170.11157,435.75235,100000
1567.22473,988.9818,9068.276,1000
1454.78748,1072.16382,422.343445,0
1621.36658,1024.729,449.4653,0
1508.5387,1077.88831,398.7006,0
1585.23145,1145.03027,436.212067,0
1534.58264,1012.512,405.9111,0
4394.418,1068.94031,408.8892,100000
1591.03552,943.3276,8544.288,1000
1409.81018,1191.03064,416.158844,0
1534.30933,1101.65063,415.110565,0
1542.92883,1050.46838,404.6124,0
1553.94885,1045.00366,441.7508,0
1428.17468,1147.97693,415.3211,0
1482.84973,2172.91577,469.8687,10000
1510.9834,1139.02148,395.1185,0
4536.355,1223.02136,401.5832,100000
1515.36853,1014.40558,392.523041,0
1513.657,928.7046,382.51767,0
1446.79993,1138.04114,396.759247,0
1463.2041,1017.76379,446.5794,0
1551.4408,1085.77979,457.7989,0
1417.64893,2467.18652,455.352264,10000
1629.91663,1074.83826,8900.691,1000
1472.96375,1033.16711,425.4881,0
1465.53845,954.423767,410.066528,0
1551.663,1064.14087,402.327026,0
1629.30151,1022.31366,420.059357,0
1437.0155,972.0786,374.869781,0
1546.52734,1093.62939,9354.301,1000
4564.52637,1012.94788,385.717651,100000
1594.39685,1060.74,405.139648,0
1556.70325,1085.96387,457.530151,0
1611.96765,991.7497,433.085846,0
1637.10718,1000.20569,447.7825,0
1481.08057,979.7197,430.756134,0
1431.8866,1111.85034,433.933868,0
1613.67358,992.1714,392.117035,0
1587.74219,2191.187,453.4851,10000
1558.11182,1105.58655,418.9843,0
1514.12476,1059.594,402.607635,0
1519.2876,1132.81213,410.87796,0
1440.21985,1097.266,394.145,0
1504.32324,2188.137,453.33844,10000
1532.01465,989.258362,407.094818,0
1712.24463,1842.85474,493.5428,10000
1539.88574,959.304138,426.0734,0
1571.8446,1153.46558,402.2308,0
4476.47363,1052.72229,380.265564,100000
1478.67615,1163.77246,401.442841,0
1462.07446,1037.23462,430.1278,0
1526.38135,1123.44324,401.1664,0
1467.54785,2244.66724,450.433441,10000
1583.27332,1094.04932,451.132141,0
1513.31226,1051.99377,9212.77,1000
4580.908,964.553345,402.326233,100000
1476.65466,1107.33118,426.539246,0
1439.69373,2238.80225,9178.893,11000
1564.63257,952.291138,414.9885,0
1516.38879,968.3414,430.003723,0
1558.30872,1053.43042,404.181244,0
1551.49646,1084.82837,442.696625,0
1525.63806,2243.52417,462.5608,10000
1570.7478,1007.20154,447.6073,0
1579.84265,1018.30518,406.074615,0
1519.65161,1114.82666,388.801117,0
1538.223,1002.66309,413.2437,0
1462.97339,2375.614,458.9736,10000
4603.51758,998.7323,359.536865,100000
1645.74133,950.7988,403.2273,0
1537.62927,2295.754,455.912323,10000
1560.01147,1059.43311,395.25058,0
1567.15759,1088.35559,400.6094,0
1620.93518,1057.25256,432.900818,0
4572.776,915.841736,389.3907,100000
1539.6416,1131.80249,423.993469,0
1479.18665,1009.61322,394.158264,0
1451.01453,994.8477,432.093842,0
1427.15625,1131.82971,385.788879,0
1524.19141,1022.65436,403.176239,0
1482.69543,992.6364,425.913635,0
1551.78186,1031.08313,9029.061,1000
1578.75549,1059.24731,370.453125,0
1474.19336,2325.78662,463.0365,10000
4359.63428,1093.13782,452.7153,100000
1514.00671,1066.11914,372.949432,0
1590.98181,945.160461,441.8307,0
1507.97021,1038.04138,478.997467,0
1515.5343,1003.00494,448.7407,0
1577.53589,1103.89258,376.2668,0
1547.97,992.5752,442.2593,0
1465.41821,1101.54675,440.5246,0
4631.657,938.049744,9390.739,101000
4493.55957,1106.84839,456.9691,100000
1462.37915,1100.59839,387.5019,0
1544.666,950.453064,414.386963,0
1542.8595,989.303,424.05423,0
1487.50452,1010.98877,9143.13,1000
1477.11841,2136.94116,8800.74,11000
1575.9165,1051.32617,405.1255,0
1542.74988,1022.64032,405.626923,0
1667.90125,1078.93152,460.2067,0
1539.4613,1163.22473,434.7579,0
1640.48438,1086.52808,404.4727,0
1631.33264,938.279663,411.944519,0
1496.80151,1136.62207,414.848846,0
1391.7666,2271.63062,470.42627,10000
1603.89319,993.0764,415.203064,0
1555.93555,1006.43658,418.8864,0
1580.17908,1006.868,430.202576,0
1467.41553,1065.17639,469.980652,0
1540.30273,1078.74316,452.859161,0
1531.46924,1091.12488,389.034119,0
1498.74915,1144.65918,404.542938,0
1535.4541,1064.61047,408.700226,0
1481.05286,1058.29407,448.024658,0
1533.40369,1051.61072,411.140167,0
1598.66724,1024.78,349.3466,0
1561.56067,963.4644,9533.159,1000
1560.82727,1019.25769,383.967957,0
1542.64819,1066.07031,427.4564,0
1615.93408,950.939331,430.414948,0
1516.57043,993.3826,485.450439,0
1560.1825,1009.01013,417.7153,0
1503.59973,1016.11481,406.8587,0
1542.17041,1081.14551,427.7817,0
1506.30994,1023.23309,390.002441,0
4554.88135,1132.55212,427.156281,100000
1486.87036,1121.74744,439.2726,0
1509.39429,1032.68091,438.6854,0
1532.9303,1076.20923,415.745819,0
1518.34583,1108.36133,438.8119,0
1485.05115,2363.52124,468.729462,10000
1483.8418,1204.0874,433.9364,0
1445.786,1088.6178,387.230042,0
1582.64612,1052.605,403.001221,0
1513.84912,968.017944,464.855927,0
1388.33447,2350.44238,448.152679,10000
1594.84119,1050.83569,388.894928,0
4530.259,1024.20435,403.4613,100000
1490.37183,1032.12488,349.7644,0
1502.08752,994.1599,410.686127,0
4557.055,1098.54468,346.243469,100000
1444.37354,2253.15161,434.509247,10000
1646.43787,1093.44116,497.113831,0
1548.14856,1058.11584,394.643768,0
1583.66321,1029.38464,8584.759,1000
1588.12012,906.2289,452.4748,0
4495.48633,1017.21735,439.55014,100000
1564.66492,1091.571,434.593079,0
1577.307,1110.13013,389.1169,0
1537.92468,983.2798,422.6272,0
1553.70874,2197.85181,452.534668,10000
1562.85657,1010.01526,384.9401,0
1538.67346,922.371948,428.948547,0
1546.83716,1003.12665,401.0754,0
1572.64941,1026.51367,427.733124,0
1470.338,1082.62561,462.263367,0
1483.43958,1076.71289,336.994476,0
1497.49292,999.099731,462.4846,0
1561.381,970.0093,401.590057,0
1562.37793,1040.76843,418.693329,0
1563.53516,1092.266,417.177032,0
1482.955,2202.67432,430.808167,10000
1518.531,1105.32043,394.657166,0
1466.09277,1004.29565,466.5006,0
1493.33337,1079.10571,9276.572,1000
1551.96191,1032.16516,425.8703,0
1539.92773,1029.18311,420.0467,0
1553.9209,989.957336,456.918365,0
1576.44165,2211.75146,443.083221,10000
1474.1366,1130.25659,426.496643,0
1616.00122,1072.69678,424.481049,0
1573.17615,989.9861,428.8839,0
1657.03235,1151.30334,422.286224,0
1638.77283,1025.28918,466.870667,0
1416.03931,2269.47119,504.1642,10000
1536.93921,1032.57666,384.1585,0
1442.1073,1102.29614,392.291016,0
1541.48718,1025.205,398.0295,0
1542.67871,1040.51367,397.2627,0
