Ch1,Ch2,Cluster_1_2,droplet
3935.379,7128.104,1,638
3952.389,2046.571,0,639
4086.791,1969.797,0,640
3939.274,7848.443,1,641
3824.714,8188.767,1,642
4084.162,7644.139,1,643
3994.419,7541.891,1,644
4037.885,8140.673,1,645
3985.288,7649.347,1,646
3965.586,2034.644,0,647
3954.64,7213.873,1,648
4174.09,7037.959,1,649
3965.728,7721.883,1,650
4043.889,7976.289,1,651
3836.708,6981.645,1,652
3993.86,2033.153,0,653
4170.971,2129.942,0,654
4060.266,7441.957,1,655
4416.66,7147.478,1,656
4220.018,7772.809,1,657
3893.561,6858.36,1,658
4189.615,2164.642,0,659
4026.927,7594.208,1,660
4056.878,7959.016,1,661
4050.762,1986.657,0,662
3986.218,7407.382,1,663
4124.575,7380.996,1,664
4020.406,2085.348,0,665
4240.117,7235.047,1,666
4021.213,8245.036,1,667
3989.114,6841.423,1,668
3986.706,7380.121,1,669
4069.713,7276.075,1,670
3988.39,7015.797,1,671
4021.404,2044.29,0,672
4168.479,2113.784,0,673
3858.086,7076.324,1,674
3992.21,8196.755,1,675
4065.129,2055.655,0,676
4152.17,1997.202,0,677
4134.531,2020.503,0,678
4127.748,2139.442,0,679
3961.741,7725.592,1,680
3967.504,7170.818,1,681
3897.875,8159.314,1,682
3983.702,7634.59,1,683
4010.65,7250.878,1,684
3935.624,7722.342,1,685
3910.656,7215.428,1,686
3701.737,7900.058,1,687
3941.133,7332.972,1,688
4431.361,2216.656,0,689
4001.699,7500.382,1,690
3902.072,7012.719,1,691
3849.455,8261.474,1,692
3927.083,7072.227,1,693
4290.357,2168.094,0,694
4014.116,1990.56,0,695
4334.589,2139.279,0,696
3992.38,7100.979,1,697
4134.47,1936.791,0,698
4147.531,2086.47,0,699
4305.479,7691.185,1,700
4158.499,2203.42,0,701
4109.292,2092.035,0,702
3947.081,7830.276,1,703
4081.36,7485.307,1,704
4175.115,2053.306,0,705
4038,7828.428,1,706
3989.189,7520.942,1,707
3896.875,7622.075,1,708
3953.72,7302.781,1,709
4078.45,7131.288,1,710
3924.512,7297.403,1,711
4118.685,7647.717,1,712
4016.232,7630.879,1,713
4257.057,7638.186,1,714
4015.619,7192.663,1,715
4233.645,2131.075,0,716
4124.037,1975.507,0,717
4073.504,1985.868,0,718
4039.151,8156.133,1,719
3966.127,7096.063,1,720
4002.568,7476.237,1,721
4162.557,2112.212,0,722
3977.703,7507.469,1,723
4150.142,8079.706,1,724
