Ch1,Ch2,Cluster,droplet
3876.141,7364.421,1,314
11476.75,8196.578,11,315
3884.309,7276.949,1,316
10747.28,7050.75,11,317
3915.609,7666.371,1,318
10948.02,7590.274,11,319
3990.997,7872.37,1,320
11279.56,7601.23,11,321
4170.434,7662.889,1,322
3938.91,7698.976,1,323
3936.506,8050.756,1,324
4155.137,8003.214,1,325
3946.62,7939.472,1,326
10560.08,7594.997,11,327
3965.774,7648.999,1,328
4045.577,7404.302,1,329
11137.69,7871.169,11,330
3938.815,7689.378,1,331
3965.027,7609.292,1,332
10793.31,7692.725,11,333
10896.81,7756.611,11,334
10490.09,7252.422,11,335
3888.861,7825.49,1,336
11181.72,7809.102,11,337
3917.028,7715.615,1,338
11157.03,7325.937,11,339
3958.251,7731.893,1,340
11085.64,7599.882,11,341
3947.073,7657.156,1,342
10851.57,7235.723,11,343
3868.302,7847.896,1,344
4117.28,8336.802,1,345
4042.238,7828.069,1,346
10548.09,7960.549,11,347
10811.85,7750.316,11,348
4136.681,7446.331,1,349
10182.33,1960.892,10,350
3999.424,7474.15,1,351
3918.11,7422.673,1,352
11433.85,8115.05,11,353
3911.277,7912.662,1,354
3932.894,7240.732,1,355
11208.49,7591.044,11,356
4347.588,7413.93,1,357
10819.28,7544.116,11,358
11226.8,7737.66,11,359
3912.9,8061.057,1,360
3921.432,8355.855,1,361
10979.57,7511.912,11,362
3875.816,7569.031,1,363
3974.069,7391.516,1,364
10922.32,8219.653,11,365
3919.12,7751.087,1,366
3911.999,7883.986,1,367
11680.43,1981.664,10,368
4000.647,7213.773,1,369
11349.95,7443.707,11,370
4103.014,8142.033,1,371
11068.59,7036.538,11,372
10670.3,7304.338,11,373
4011.87,7456.623,1,374
4015.12,7749.984,1,375
10858.46,2061.974,10,376
10877.4,7744.793,11,377
3907.217,7758.839,1,378
11067.41,7844.225,11,379
11183.86,7309.711,11,380
3967.788,7905.177,1,381
4036.204,7276.547,1,382
11704.74,8529.504,11,383
4064.228,2023.535,0,384
3976.31,8226.249,1,385
3981.487,7595.204,1,386
4011.79,7510.183,1,387
3971.307,8273.672,1,388
3993.081,7809.2,1,389
4619.988,7422.207,1,390
10840.82,7257.02,11,391
4042.9,8034.649,1,392
3924.975,7553.446,1,393
11106.04,7471.996,11,394
4337.627,7297.349,1,395
3932.742,7431.377,1,396
10848.15,7485.058,11,397
10499.67,7367.16,11,398
11313.82,7784.389,11,399
3961.221,7551.48,1,400
11190.99,2016.996,10,401
10804.07,7477.277,11,402
3882.642,7229.485,1,403
4157.597,7594.59,1,404
10774.63,7592.522,11,405
4338.215,7354.707,1,406
3917.472,7596.86,1,407
11161.46,7822.565,11,408
3967.493,8114.702,1,409
4033.105,7961.323,1,410
10674.18,7426.867,11,411
3912.633,7874.861,1,412
10191.25,7549.764,11,413
4060.583,8187.771,1,414
10871.52,7780.189,11,415
3957.081,7956.062,1,416
3922.388,7636.501,1,417
3918.229,6972.971,1,418
3992.488,8458.254,1,419
4026.464,7228.93,1,420
4075.285,1944.916,0,421
4030.785,7956.748,1,422
10180.54,7743.21,11,423
3914.978,7861.043,1,424
4174.218,2260.948,0,425
10717.98,7561.368,11,426
10756.99,7257.295,11,427
10102.82,7792.602,11,428
4009.543,7636.656,1,429
10889.38,7232.28,11,430
4020.827,7390.669,1,431
4355.915,2164.633,0,432
